Nom_Lieu,Latitude,Longitude,Groupe,Visite,Description,Indications,Image_Mystère,Image_Lieu,GroupeEN,DescriptionEN,IndicationEN
Espace Jean Legendre (EJL),49.407139,2.808778,Loisir,0,Lieu culturel permettant d'aller profiter de divers spectacles souvent plus modernes que ce qui est proposé au Théâtre Impérial,"Ligne 5 arrêt Centre Culturel, 15 min à pied de BF",Parts_img/img_myst_1,Img_lieux/ejl,Leasure,Theater with multiples modern spectacles. Also used for graduation ceremonies.,"Bus 5, Centre Culturel stop, 15 min from Benjamin Franklin by feet."
Parc Songeons,49.418028,2.821,Loisir,0,Parc situé près de Benjamin Franklin et de l'Oise‚ il est en centre-ville ,"5min de BF à pied, en longeant l'Oise en direction du centre-ville",Parts_img/img_myst_2,Img_lieux/parc_songeons,Leasure,"Public garden near Benjamin Franklin and the Oise, near the city center","5min from Benjamin Franklin, longing Oise towards the city center."
Théâtre Impérial,49.419722,2.830389,Loisir,0,Lieu culturel à visiter‚ le théâtre propose diverses représentations dans un cadre avec une des meilleures acoustiques d'Europe. Lié au palais‚ le théâtre est aussi un lieu où il est possible de travailler en tant qu'ouvreur,Dans une rue sur la gauche du palais impérial. Marcher c'est bien aussi !,Parts_img/img_myst_3,Img_lieux/theatre_imperial,Leasure,"Cultural place to visit, this theater has one of the best acoustic in Europe. Linked to the Palais Imperial by a bridge, it is also a place where you can have a job as an opener.",On the street at the left of the Palais Imperial. Walking is good!
Palais Impérial,49.419306,2.831194,Loisir,0,Lieu culturel à visiter‚ datant de l'époque de Napoléon III‚ doté d'un jardin et d'un salon de thé‚ il est aussi près de l'avenue des Beaux Monts,"Depuis BF, en direction du centre ville, et continuer tout droit... tout droit... Pas d'arrêt de bus pratique, utilise tes petits petons ;)",Parts_img/img_myst_4,Img_lieux/palais_imperial,Leasure,"Cultural place to visit. Built for Napeleon the third, it has a garden and a tea house. It is also close to the Avenue des Beaux Monts.","From Benjamin Franklin, towards the city center and keep on going straight. There is no useful bus stop here, use your feet!"
Roberval,49.41225,2.812472,Résidence,0,Résidence étudiante située près de BF et de Auchan,"Depuis BF, partir en direction de l'église Saint-Germain, la résidence est à environ 7 minutes à pied ! Il est possible d'y accéder grâce aux bus, il suffit de prendre la ligne 5 et de s'arrêter à ""Résidence Universitaire""",Parts_img/img_myst_5,Img_lieux/roberval,Accomodation,Student residence close to Benjamin Franklin and Auchan.,
La Mare Gaudry,49.408944,2.813111,Résidence,0,Résidence étudiante située près du comissariat de police‚ de l'EJL et de la rue de Paris,"Depuis la rue de Paris (rue qui fait l'angle de Bureau Vallée), prendre la petite rue en face du coiffeur ""Jennif' Hair"". La résidence se trouve au bout de cette rue",Parts_img/img_myst_6,Img_lieux/mare_gaudry,Accomodation,"Student residence close to the police station, the Espace Jean Legendre and rue de Paris.",
La Ruche,49.418944,2.816333,Résidence,0,Résidence côté Margny‚ située de l'autre côté du pont Neuf‚ près de BF,"Depuis BF, il suffit de traverser le Pont-Neuf, la résidence se trouve de l'autre côté du petit-rond point sur la droite. Il est aussi possible d'y accéder en bus depuis la ligne 5 en prenant l'arrêt ""Rue de Clermont""",Parts_img/img_myst_7,Img_lieux/la_ruche,Accomodation,"Student residence at Margny-les-Compiègnes, on the other side of the Pont Neuf, close to Benjamin Franklin.",
Peupliers,49.39625,2.790083,Résidence,0,Résidence située près d'Intermarché et de l'ensemble des bâtiments de PG,Ligne 5 arrêt Blaise Pascal,Parts_img/img_myst_8,Img_lieux/peupliers,Accomodation,Student residence close to the Intermarché and Pierre Guillaumat.,
Pierre Guillaumat 1 (PG1),49.40025,2.800056,Universite,0,"Batiment de TP, regroupe les salles avec les lettres : I, J, K et L (exemple : RJ207)",Ligne 5 arrêt Centre de Recherches (depuis BF : direction hôpital),Parts_img/img_myst_9,Img_lieux/PG,University,Lab building and other various class activities.,"Bus 5, Centre de Recherches stop. (From Benjamin Franklin: direction hôpital)"
Pierre Guillaumat 2 (PG2),49.400944,2.800389,Universite,0,"Batiment de TP, regroupe les salles avec les lettres : M, N et O (exemple : RO 227)",Ligne 5 arrêt Rostand (depuis BF : direction hôpital),,Img_lieux/PG,University,Lab building and other various class activities.,"Bus 5, Rostand stop. (from Benjamin Franklin: direction hôpital)"
Benjamin Franklin (BF),49.4155,2.819056,Universite,0,Batiment de cours. Toutes les salles ayant comme code BF... sont situées dans ce bâtiment.,"Ligne 5 arrêt Couttolenc/Port à Bateaux, Ligne 3 arrêt Port à Bateaux",Parts_img/img_myst_11,Img_lieux/BF,University,"Main building for classes. All classroom starting by ""BF"" are in this building.","Bus 5, Couttolenc/Port à Bateaux stop, Bus 3 Port à Bateaux stop"
Halle des Sports (HDS),49.401139,2.794694,Universite,0,Sport et examens finaux,Ligne 5 arrêt Denielou (depuis BF : direction hôpital),Parts_img/img_myst_12,Img_lieux/hds,University,Building for sport and final exams.,Bus 5 Denielou stop (from Benjamin Franklin: direction hôpitla)
Centre d'Innovation (CI),49.401944,2.795444,Universite,0,Bâtiment utilisé pour tous les projets innovant. Le fablab se trouve à cette endroit,Ligne 5 arrêt Denielou (depuis BF : direction hôpital),Parts_img/img_myst_13,Img_lieux/CI,University,Building used to innovating project. FabLab is in this building as well.,"Bus 5, Denielou stop (from Benjamin Franklin: direction hôpital)"
ESCOM,49.401917,2.802278,Universite,0,Bâtiment de TP (chimie),Ligne 5 arrêt Rostand (depuis BF : direction hôpital),Parts_img/img_myst_14,Img_lieux/escom,University,Chemical lab building.,"Bus 5, Rostand stop (from Benjamin Franklin: direction hôpital)"
Pic,49.415583,2.819361,Universite,0,Lieu de rencontres entre Utcéens. Ouvert toute la journée et proposant des permanences dont le thème change tous les jours. Vente de bières le soir,Le pic est à BF :),Parts_img/img_myst_15,,University,Meeting point for all UTC students. Open throughout the day. There is a permanence every night with a different theme for each. You can buy beers here on the evening.,Pic is at Benjamin Franklin :)
Auchan,49.412361,2.816111,Utilitaire,0,Supermarché situé près de BF‚ il est aussi à proximité des principales résidences étudiantes.,"A 10min à pied de BF, dans la direction de PG, Ligne 5 arrêt Gambetta (depuis BF : direction hôpital)",Parts_img/img_myst_16,Img_lieux/auchan,Utility,"Supermarket near Benjamin Franklin, also close to most of the student residences.","10min from Benjamin Franklin by feet, towards Pierre Guillaumat (Bus 5, Gambetta stop (from Benjamin Franklin: direction hôpital))"
Monoprix,49.418556,2.825278,Utilitaire,0,Supermarché situé en centre-ville sur la rue Solférino. Il est proche de la gare,"Situé au centre ville, à 10min à pied de BF, ligne 5 arrêt Solférino (direction Gare ; attention tous les bus ne passent pas par cet arrêt)",Parts_img/img_myst_17,Img_lieux/monoprix,Utility,Supermarket in the city center on rue Solférino. Close to the train station.,"Located in the city center, 10min from Benjamin Franklin by feet (Bus 5, Solferino stop (from Benjamin Franklin: direction Gare) careful, not all buses stop here)"
Intermarché,49.397167,2.796361,Utilitaire,0,Supermarché situé près des bâtiments de PG,"15min à pied du CI, lignes 3 (direction centre commerciel) et 5 (direction hôpital) arrêt Blaise Pascal ",Parts_img/img_myst_18,Img_lieux/intermarche,Utility,Supermarket close the Pierre Guillaumat.,"15min from Centre d'Innovation by feet (Bus 5 or 3, Blaise Pascal stop)"
Gare,49.422028,2.823583,Utilitaire,0,Située à Margny-les-Compiègne‚ elle est le terminus et le départ de toutes les lignes de bus. Des services de taxis y sont aussi présents.,"Tous les bus mènent à la gare. Tant qu'il est direction Gare, bien sûr",Parts_img/img_myst_19,Img_lieux/gare,Utility,"In Margny-les-Compiègnes, all buses go through it. You can also find taxis here, and trains of course.",Every buses goes to the train station.
Restaurant universitaire (RU),49.415333,2.819944,Utilitaire,0,Restaurant Universitaire ouvert du Lundi au Vendredi‚ midi et soir. Prix des repas : 3€25,"En face de BF, difficile à manquer",Parts_img/img_myst_20,Img_lieux/ru,Utility,"University restaurant, open from Monday to Friday, for lunch and dinner. Price: 3.25€","In front of Benjamin Franklin, hard to miss!"
Centre de Recherche (CR),49.399917,2.798806,Universite,0,"Batiment de TP, regroupe les salles avec les lettres : A, B, C, D, E, F, G et H (exemple : RB 110)",Ligne 5 arrêt Centre de Recherches (depuis BF : direction hôpital),Parts_img/img_myst_21,Img_lieux/CR,University,Lab building.,"Bus 5, Centre de Recherches stop (from Benjamin Franklin: direction hôpital)"
Parc Bayser,49.3985,2.803778,Loisir,0,Parc situé près de Pierre Guillaumat,Ligne 5 ou 2 arrêt Centre de Recherches,Parts_img/img_myst_22,Img_lieux/parc_bayser,Leasure,Public garden near Pierre Guillaumat.,XX
Stade Petitpoisson,49.424222,2.843389,Loisir,0,Stade parfois utilisé lors d'évènements utcéens,"Ligne 3 arrêt ""Cimetière Nord"" (depuis la Gare : direction Marroniers)",Parts_img/img_myst_23,Img_lieux/stade_petitpoisson,Leasure,Stadium sometime used to UTC events.,XX
Conservatoire,49.408167,2.810944,Loisir,0,Ecole de Musique ,Ligne 5 arrêt Centre Culturel puis partir à pied en face de l'Espace Jean Legendre (rue Saint-Germain) il s'agit du bâtiment à la première intersection à droite.,Parts_img/img_myst_24,Img_lieux/conservatoire,Leasure,Music school.,XX
Franprix,49.417056,2.824,Utilitaire,0,Petite supérette située en centre-ville près de la mairie,"A pied depuis l'UTC, partir en direction du centre-ville et continuer tout droit. En bus prendre la ligne 5 et s'arrêter à l'arrêt Saint-Corneille. Il est aussi possible de prendre la ligne 3 depuis la gare et de s'arrêter à ""Parc Songeons"" (direction Marronniers)",Parts_img/img_myst_25,Img_lieux/franprix,Utility,XX,XX
Beer Geek,49.41575,2.827778,Loisir,0,Bar à bières situé en centre-ville,"En bus depuis la gare : Ligne 1,2 ou 4 arrêt ""Magenta"". A pied, allez en direction de la mairie, une fois sur la place prenez la rue à droite (rue Magenta) et continuez tout droit",Parts_img/img_myst_26,Img_lieux/beer_geek,Leasure,XX,XX
After Hours,49.414944,2.820444,Loisir,0,Bar proche de Benjamin Franklin,"Depuis BF, remontez la rue du Port à Bateaux, le bar se trouvera sur la gauche à l'intersection avec la rue Notre Dame de Bon Secours",Parts_img/img_myst_27,Img_lieux/after_hours,Leasure,XX,XX
Macadam,49.417611,2.82625,Loisir,0,Bar situé en centre-ville,"Allez à la Mairie, le bar se trouve sur sa droite.",Parts_img/img_myst_28,Img_lieux/macadam,Leasure,XX,XX
Bureau Vallée,49.410806,2.816694,Utilitaire,0,Magasin de fournitures de bureau avec des prix pour les étudiants,"En bus : Ligne 3 arrêt ""Rue de Paris"", Ligne arrêt Gambetta (remonter la rue ensuite), Ligne 2 arrêt ""Saint-Joseph"" (descendre la rue ensuite). A pied depuis BF, aller en direction de Auchan et remonter la rue jusqu'à l'intersection avec la rue de Paris !",Parts_img/img_myst_10,Img_lieux/bureau_vallee,Utility,XX,XX
Centre de Transfert (CT),49.401361,2.795917,Universite,0,Bâtiment utilisé pour les TPs,Ligne 5 arrêt Denielou (depuis BF : direction hôpital),,,University,XX,XX
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,, ,,,,,